"group","osp_status","rf_sim","n","nstocks","nstrategic","pstrategic"
"Large whales","Unknown",0.6,2,2,0,0
"Large whales","Unknown",0.61,2,2,0,0
"Large whales","Unknown",0.62,2,2,0,0
"Large whales","Unknown",0.63,2,2,0,0
"Large whales","Unknown",0.64,2,2,0,0
"Large whales","Unknown",0.65,2,2,0,0
"Large whales","Unknown",0.66,2,2,0,0
"Large whales","Unknown",0.67,2,2,0,0
"Large whales","Unknown",0.68,2,2,0,0
"Large whales","Unknown",0.69,2,2,0,0
"Large whales","Unknown",0.7,2,2,0,0
"Large whales","Unknown",0.71,2,2,0,0
"Large whales","Unknown",0.72,2,2,0,0
"Large whales","Unknown",0.73,2,2,0,0
"Large whales","Unknown",0.74,2,2,0,0
"Large whales","Unknown",0.75,2,2,0,0
"Large whales","Unknown",0.76,2,2,0,0
"Large whales","Unknown",0.77,2,2,0,0
"Large whales","Unknown",0.78,2,2,0,0
"Large whales","Unknown",0.79,2,2,0,0
"Large whales","Unknown",0.8,2,2,0,0
"Large whales","Unknown",0.81,2,2,0,0
"Large whales","Unknown",0.82,2,2,0,0
"Large whales","Unknown",0.83,2,2,0,0
"Large whales","Unknown",0.84,2,2,0,0
"Large whales","Unknown",0.85,2,2,0,0
"Large whales","Unknown",0.86,2,2,0,0
"Large whales","Unknown",0.87,2,2,0,0
"Large whales","Unknown",0.88,2,2,0,0
"Large whales","Unknown",0.89,2,2,0,0
"Large whales","Unknown",0.9,2,2,0,0
"Large whales","Unknown",0.91,2,2,0,0
"Large whales","Unknown",0.92,2,2,0,0
"Large whales","Unknown",0.93,2,2,0,0
"Large whales","Unknown",0.94,2,2,0,0
"Large whales","Unknown",0.95,2,2,0,0
"Large whales","Unknown",0.96,2,2,0,0
"Large whales","Unknown",0.97,2,2,0,0
"Large whales","Unknown",0.98,2,2,0,0
"Large whales","Unknown",0.99,2,2,0,0
"Large whales","Unknown",1,2,2,0,0
"Otariids","Non-depleted",0.5,3,3,0,0
"Otariids","Non-depleted",0.51,3,3,0,0
"Otariids","Non-depleted",0.52,3,3,0,0
"Otariids","Non-depleted",0.53,3,3,0,0
"Otariids","Non-depleted",0.54,3,3,0,0
"Otariids","Non-depleted",0.55,3,3,0,0
"Otariids","Non-depleted",0.56,3,3,0,0
"Otariids","Non-depleted",0.57,3,3,0,0
"Otariids","Non-depleted",0.58,3,3,0,0
"Otariids","Non-depleted",0.59,3,3,0,0
"Otariids","Non-depleted",0.6,3,3,0,0
"Otariids","Non-depleted",0.61,3,3,0,0
"Otariids","Non-depleted",0.62,3,3,0,0
"Otariids","Non-depleted",0.63,3,3,0,0
"Otariids","Non-depleted",0.64,3,3,0,0
"Otariids","Non-depleted",0.65,3,3,0,0
"Otariids","Non-depleted",0.66,3,3,0,0
"Otariids","Non-depleted",0.67,3,3,0,0
"Otariids","Non-depleted",0.68,3,3,0,0
"Otariids","Non-depleted",0.69,3,3,0,0
"Otariids","Non-depleted",0.7,3,3,0,0
"Otariids","Non-depleted",0.71,3,3,0,0
"Otariids","Non-depleted",0.72,3,3,0,0
"Otariids","Non-depleted",0.73,3,3,0,0
"Otariids","Non-depleted",0.74,3,3,0,0
"Otariids","Non-depleted",0.75,3,3,0,0
"Otariids","Non-depleted",0.76,3,3,0,0
"Otariids","Non-depleted",0.77,3,3,0,0
"Otariids","Non-depleted",0.78,3,3,0,0
"Otariids","Non-depleted",0.79,3,3,0,0
"Otariids","Non-depleted",0.8,3,3,0,0
"Otariids","Non-depleted",0.81,3,3,0,0
"Otariids","Non-depleted",0.82,3,3,0,0
"Otariids","Non-depleted",0.83,3,3,0,0
"Otariids","Non-depleted",0.84,3,3,0,0
"Otariids","Non-depleted",0.85,3,3,0,0
"Otariids","Non-depleted",0.86,3,3,0,0
"Otariids","Non-depleted",0.87,3,3,0,0
"Otariids","Non-depleted",0.88,3,3,0,0
"Otariids","Non-depleted",0.89,3,3,0,0
"Otariids","Non-depleted",0.9,3,3,0,0
"Otariids","Non-depleted",0.91,3,3,0,0
"Otariids","Non-depleted",0.92,3,3,0,0
"Otariids","Non-depleted",0.93,3,3,0,0
"Otariids","Non-depleted",0.94,3,3,0,0
"Otariids","Non-depleted",0.95,3,3,0,0
"Otariids","Non-depleted",0.96,3,3,0,0
"Otariids","Non-depleted",0.97,3,3,0,0
"Otariids","Non-depleted",0.98,3,3,0,0
"Otariids","Non-depleted",0.99,3,3,0,0
"Otariids","Non-depleted",1,3,3,0,0
"Phocids","Non-depleted",0.5,16,16,0,0
"Phocids","Non-depleted",0.51,16,16,0,0
"Phocids","Non-depleted",0.52,16,16,0,0
"Phocids","Non-depleted",0.53,16,16,0,0
"Phocids","Non-depleted",0.54,16,16,0,0
"Phocids","Non-depleted",0.55,16,16,0,0
"Phocids","Non-depleted",0.56,16,16,0,0
"Phocids","Non-depleted",0.57,16,16,0,0
"Phocids","Non-depleted",0.58,16,16,0,0
"Phocids","Non-depleted",0.59,16,16,0,0
"Phocids","Non-depleted",0.6,16,16,0,0
"Phocids","Non-depleted",0.61,16,16,0,0
"Phocids","Non-depleted",0.62,16,16,0,0
"Phocids","Non-depleted",0.63,16,16,0,0
"Phocids","Non-depleted",0.64,16,16,0,0
"Phocids","Non-depleted",0.65,16,16,0,0
"Phocids","Non-depleted",0.66,16,16,0,0
"Phocids","Non-depleted",0.67,16,16,0,0
"Phocids","Non-depleted",0.68,16,16,0,0
"Phocids","Non-depleted",0.69,16,16,0,0
"Phocids","Non-depleted",0.7,16,16,0,0
"Phocids","Non-depleted",0.71,16,16,0,0
"Phocids","Non-depleted",0.72,16,16,0,0
"Phocids","Non-depleted",0.73,16,16,0,0
"Phocids","Non-depleted",0.74,16,16,0,0
"Phocids","Non-depleted",0.75,16,16,0,0
"Phocids","Non-depleted",0.76,16,16,0,0
"Phocids","Non-depleted",0.77,16,16,0,0
"Phocids","Non-depleted",0.78,16,16,0,0
"Phocids","Non-depleted",0.79,16,16,0,0
"Phocids","Non-depleted",0.8,16,16,0,0
"Phocids","Non-depleted",0.81,16,16,0,0
"Phocids","Non-depleted",0.82,16,16,0,0
"Phocids","Non-depleted",0.83,16,16,0,0
"Phocids","Non-depleted",0.84,16,16,0,0
"Phocids","Non-depleted",0.85,16,16,0,0
"Phocids","Non-depleted",0.86,16,16,0,0
"Phocids","Non-depleted",0.87,16,16,0,0
"Phocids","Non-depleted",0.88,16,16,0,0
"Phocids","Non-depleted",0.89,16,16,0,0
"Phocids","Non-depleted",0.9,16,16,0,0
"Phocids","Non-depleted",0.91,16,16,0,0
"Phocids","Non-depleted",0.92,16,16,0,0
"Phocids","Non-depleted",0.93,16,16,0,0
