"region_orig","fishery","n"
"Atlantic","Gulf of Mexico inshore gillnet (black drum, sheepshead, weakfish, mullet, spot, croaker",1
"Atlantic","Gulf of Mexico inshore gillnet (black drum, sheepshead, weakfish, mullet, spot, croaker)",2
"Atlantic","Gulf of Mexico inshore gillnet (black drum, sheepshead, weakfish, mullet, spot, croaker).",1
"Atlantic","Gulf of Mexico menhaden purse seine",28
"Atlantic","Gulf of Mexico mixed species trap/pot",24
"Atlantic","Gulf of Mexico mixed species trawl",22
"Atlantic","Gulf of Mexico mixed species trawl Mid-Atlantic mixed species trawl",2
"Atlantic","Gulf of Mexico, Southeast Atlantic, Mid- Atlantic, and Caribbean cast net",3
"Atlantic","Gulf of Mexico, Southeast Atlantic, Mid-Atlantic and Caribbean cast net",1
"Atlantic","Gulf of Mexico, Southeast Atlantic, Mid-Atlantic, and Caribbean cast net",20
"Atlantic","Long Island Sound inshore gillnet",28
"Atlantic","MA mixed species trap/pot",3
"Atlantic","Mid-Atlantic blue crab dredge",10
"Atlantic","Mid-Atlantic bottom trawl",20
"Atlantic","Mid-Atlantic coastal",1
"Atlantic","Mid-Atlantic coastal gillnet",1
"Atlantic","Mid-Atlantic flynet",4
"Atlantic","Mid-Atlantic gilinet",1
"Atlantic","Mid-Atlantic gillnet",19
"Atlantic","Mid-Atlantic haul seine",2
"Atlantic","Mid-Atlantic haul/beach seine",24
"Atlantic","Mid-Atlantic menhaden purse seine",27
"Atlantic","Mid-Atlantic menhaden purse seine2",1
"Atlantic","Mid-Atlantic mid-water trawl (including pair trawl)",20
"Atlantic","Mid-Atlantic mixed species trap/pot",2
"Atlantic","Mid-Atlantic mixed species trawl",6
"Atlantic","Mid-Atlantic soft-shell clam dredge",10
"Atlantic","Mid-Atlantic whelk dredge",10
"Atlantic","Mid-Atlantic, Southeastern U.S. Atlantic, Gulf of Mexico shrimp trawl",3
"Atlantic","Mid-Atlantic, Southeastern U.S. Atlantic, Gulf of Mexico shrimp trawl.",1
"Atlantic","NC inshore gillnet",17
"Atlantic","NC long haul seine",17
"Atlantic","NC roe mullet stop net",17
"Atlantic","New England and Mid-Atlantic offshore surf clam/quahog dredge",9
"Atlantic","New England multispecies sink gillnet (including species as defined in the Multispecies Fisheries Management Plan and spiny dogfish and monkfish)",1
"Atlantic","North Atlantic bottom trawl",6
"Atlantic","North Atlantic bottom trawl Southeastern U.S. Atlantic, Gulf of Mexico shrimp trawl",2
"Atlantic","North Carolina haul seine",2
"Atlantic","North Carolina inshore gillnet",11
